,colsample_bytree,max_bin,min_child_samples,num_leaves,score,subsample
173,0.9982824226665274,1763.0,1.0,38.0,0.8185623163617564,0.5467999903827051
16,0.9821534938247852,1829.0,2.0,42.0,0.8164870799987753,0.6829405859590727
49,0.8468061326213122,1928.0,1.0,26.0,0.8161455613641412,0.7811139053567526
130,0.6148949091476557,1827.0,7.0,32.0,0.8158266435641013,0.5349280320935527
18,0.996127187922943,1982.0,3.0,31.0,0.8156135676965441,0.43002785476436933
72,0.9554479777981253,1720.0,6.0,44.0,0.8150354314292108,0.5163535674417534
86,0.6922961072817957,1717.0,14.0,69.0,0.8147881383697101,0.72967138399358
165,0.9860194852635366,1461.0,1.0,11.0,0.8147313716246354,0.4138373364575783
76,0.9711275831015784,1811.0,11.0,120.0,0.8143558319572237,0.7265698975885235
21,0.7985544561998172,1769.0,3.0,58.0,0.8143092597635266,0.5233372882991822
50,0.9234808720500134,1816.0,1.0,63.0,0.8142027445432163,0.8042685863584
198,0.9654849893828399,1791.0,2.0,28.0,0.8142012403883567,0.42842097858081546
88,0.9184438545075139,1739.0,2.0,79.0,0.8139883026781465,0.4483707551019125
201,0.9489558792739397,1825.0,3.0,30.0,0.8138921445279603,0.5042489523757478
15,0.9923375935298048,1959.0,18.0,39.0,0.8135047108908757,0.9607557043630468
100,0.9839065354553573,1732.0,10.0,81.0,0.8134616129446008,0.555836091709526
37,0.8920248900771262,1875.0,2.0,60.0,0.8132492532440887,0.558103417464309
42,0.8559887458029987,1984.0,13.0,26.0,0.8129104160393631,0.9970968684051537
186,0.9459141878043356,1821.0,1.0,86.0,0.8127579700953745,0.5286935400590967
69,0.8555938327845958,1747.0,2.0,87.0,0.8124770169791704,0.4051570520164629
30,0.9507645192923663,1664.0,7.0,81.0,0.812472354037103,0.6765856014420081
31,0.7431772357665308,1714.0,5.0,95.0,0.8122665267286173,0.40977853546381826
194,0.8660645439333404,1946.0,5.0,11.0,0.8120749633345319,0.5691662231059864
172,0.913772690636399,1877.0,7.0,39.0,0.8120693212127141,0.6577522272107279
184,0.827715345555812,1613.0,3.0,31.0,0.8119822271280649,0.4736883889115554
101,0.7840086899882047,1714.0,8.0,38.0,0.811872337302108,0.4110511703330113
126,0.8795167912153099,1756.0,7.0,19.0,0.8117096286737724,0.48666327833007034
67,0.6358012877988161,1792.0,9.0,117.0,0.8115571115095545,0.6489656715429194
45,0.8577573571280557,1890.0,1.0,100.0,0.8115400667564426,0.7258908594998139
166,0.9865987793677662,1620.0,1.0,76.0,0.8115095147340836,0.6718012076527611
177,0.9060488737337637,1982.0,1.0,12.0,0.8114390548528629,0.6738711609904934
36,0.9380181175041621,1921.0,2.0,17.0,0.8112840629616788,0.42948863042193147
129,0.6271293587172521,1914.0,12.0,14.0,0.8112760690091149,0.6316756155898103
22,0.8688903224858384,1806.0,2.0,49.0,0.8111631484181743,0.6505545843453364
80,0.9839898371754152,1806.0,6.0,40.0,0.8106450134438248,0.5338577144721418
33,0.7012196918455753,1891.0,1.0,29.0,0.8106174836844471,0.7852551995619176
160,0.8824183724080898,1862.0,16.0,192.0,0.8105997313216508,0.9778753797114382
27,0.7504685758051108,1767.0,10.0,55.0,0.8105755114065145,0.5234788374433126
89,0.9019272158091004,1758.0,6.0,81.0,0.8105677179384218,0.5316507132231953
84,0.6457227571891254,1714.0,4.0,30.0,0.8104878714110388,0.6100981152062692
0,0.8,1655.0,1.0,35.0,0.8104406824953785,0.8
51,0.8,1655.0,1.0,35.0,0.8104406824953785,0.8
102,0.8,1655.0,1.0,35.0,0.8104406824953785,0.8
153,0.8,1655.0,1.0,35.0,0.8104406824953785,0.8
97,0.8418208229572581,1654.0,13.0,30.0,0.8104005014565601,0.5228079366372451
38,0.8104922697962107,1929.0,2.0,17.0,0.8103881355272708,0.4294123025004556
26,0.9916309622620074,1820.0,6.0,70.0,0.8102437864554466,0.4306676312490843
34,0.7206638397721818,1849.0,8.0,19.0,0.8100475378720609,0.6284296433540332
144,0.9839247982268619,1951.0,6.0,27.0,0.8100371225300182,0.6607251529626734
99,0.9017070333538889,1622.0,11.0,19.0,0.8100036796569366,0.5112777748852896
63,0.6780753515605665,1792.0,13.0,99.0,0.8098438044140712,0.8837667588632118
48,0.8366609247246075,1999.0,9.0,88.0,0.8097746530943611,0.6182392848543453
154,0.8607401142299154,1746.0,12.0,147.0,0.8092576630775532,0.5815402992900612
71,0.9891547212000156,1698.0,1.0,154.0,0.8091986205884574,0.5254619168673361
96,0.7739551419386616,1655.0,5.0,64.0,0.8091740060392795,0.5732682997596125
162,0.6203618779335505,1768.0,1.0,30.0,0.8089850028208934,0.7453100977240337
140,0.9200863340826835,1550.0,1.0,13.0,0.8084744321445729,0.778472804139897
81,0.6519372360704828,1718.0,3.0,88.0,0.808441444877254,0.44418970330034163
109,0.9569229104798663,1288.0,4.0,21.0,0.8083387393837025,0.7559814739576989
161,0.6626650022656461,1929.0,7.0,153.0,0.8083020911838071,0.5190810145596879
92,0.8836306189631519,1826.0,9.0,73.0,0.8082612416640957,0.8470660883970633
136,0.7794617489824162,1537.0,3.0,40.0,0.808259254366033,0.643724360743748
61,0.7784041202020926,1783.0,10.0,178.0,0.8082305122889573,0.5057312505824131
5,0.970088807562854,1707.0,7.0,19.0,0.8081429644613932,0.8158895219094295
78,0.8011343410234699,1779.0,8.0,47.0,0.8080933848138269,0.41394139397314256
146,0.9782550145432525,1793.0,1.0,72.0,0.8078463023131237,0.5978723368031151
197,0.644460082487318,1821.0,9.0,46.0,0.8078305307823527,0.40974732918894924
195,0.8549575295072283,1866.0,4.0,143.0,0.8076692469729366,0.8709746854971928
114,0.9291189844040783,1559.0,2.0,33.0,0.807588319656095,0.7205361585293533
82,0.88412083061849,1807.0,6.0,60.0,0.8075875141771915,0.619350884391107
182,0.9188160394402858,1407.0,2.0,15.0,0.8075307219673957,0.7048328275136619
180,0.966946382006493,1606.0,13.0,168.0,0.8073423894132017,0.6348845661040405
60,0.9331411521994347,1696.0,2.0,57.0,0.8073384668711636,0.6040953248969433
193,0.6921828283899747,1731.0,2.0,17.0,0.8072095137061256,0.7785608380009319
104,0.825588841017437,1980.0,9.0,128.0,0.807073411795707,0.4668450998651274
137,0.6849769261689336,1765.0,5.0,49.0,0.8068139001738839,0.8633309959221985
143,0.8765809099523758,1575.0,1.0,33.0,0.8067360544486931,0.6051152597369024
133,0.8121449578628743,1970.0,7.0,32.0,0.8065871212467901,0.777198044735699
24,0.7162957167482297,1850.0,4.0,24.0,0.8064304820640036,0.7803160816373031
191,0.984349940132749,1705.0,6.0,17.0,0.8063122143963811,0.6869672664138975
132,0.8792734991389288,1946.0,11.0,38.0,0.8062474784986895,0.4164236069485676
55,0.7902857671654651,1575.0,13.0,55.0,0.8061256191289683,0.9053005681207807
83,0.7794268345546939,1815.0,21.0,82.0,0.8060058718623682,0.6663303997776285
168,0.7951848837341237,1059.0,1.0,38.0,0.805968813511343,0.6918187168068193
159,0.6425788287224526,1197.0,10.0,12.0,0.8058936057576409,0.8952142787198437
169,0.7162665291652053,1450.0,5.0,64.0,0.8058032995663321,0.6048919302150957
70,0.9679953300829818,1779.0,6.0,83.0,0.8055127321073371,0.6777205826267556
167,0.9600900336710508,1596.0,5.0,27.0,0.805421199544976,0.9476481370804586
74,0.7485210503162135,1746.0,20.0,71.0,0.8054174718860478,0.7061579821811461
188,0.8224062436771071,1375.0,4.0,34.0,0.8053162065365814,0.4746869696606052
13,0.6237328591308348,1441.0,11.0,33.0,0.8046134890756502,0.40330245693886857
87,0.9596897638067731,1750.0,1.0,58.0,0.8044251214878166,0.6294608718964859
107,0.8172535441874511,1038.0,15.0,62.0,0.8043496942311601,0.7422876886242545
149,0.6105450093087738,1417.0,12.0,192.0,0.8043416017525198,0.6437096700467516
41,0.7065398741557586,1005.0,2.0,33.0,0.8042712826124004,0.5327393118612171
178,0.6646133256963394,1735.0,7.0,10.0,0.8041534306050488,0.8372006359726945
183,0.8438222578937417,1024.0,18.0,36.0,0.8040945810859583,0.8888666948377926
14,0.6884008027820803,1442.0,6.0,47.0,0.8040069344524087,0.42628402501254703
91,0.8631664118660222,1664.0,17.0,137.0,0.8040022444461684,0.6080503807502358
68,0.6799178334544018,1827.0,27.0,21.0,0.8039389487613124,0.9861134675600324
47,0.9848203178836517,1952.0,19.0,10.0,0.8038217230965781,0.6736961042565677
54,0.7176661396951106,1667.0,30.0,74.0,0.8038216752573243,0.762779207947859
44,0.8987156070626422,1973.0,16.0,64.0,0.803650277722244,0.5601927525559428
93,0.7879127952068771,1718.0,6.0,14.0,0.8036396715589074,0.890441345154101
128,0.9182442433597944,1998.0,18.0,27.0,0.8035914336845199,0.49970016970479836
190,0.8149427499054369,1378.0,1.0,11.0,0.8035417221446697,0.6258922972653258
20,0.7282938041457307,1015.0,8.0,113.0,0.8034888256907188,0.7004207251829053
8,0.9795080112111846,1932.0,1.0,74.0,0.8032547624489951,0.8595107973488207
189,0.9729030976124456,1550.0,4.0,14.0,0.8032324264092308,0.5485645721707773
196,0.6662358536395824,1022.0,24.0,13.0,0.8030946394298526,0.9587870288962094
58,0.9779951951951851,1751.0,25.0,16.0,0.8030388902188698,0.6677390319770978
163,0.6156852620788963,1804.0,2.0,181.0,0.8030180848629979,0.7579423842908951
66,0.627595874715164,1623.0,3.0,57.0,0.8028862799428745,0.835591347946901
28,0.8442331260360227,1748.0,1.0,114.0,0.8027684126703403,0.8869741699027384
73,0.9381459410176431,1708.0,20.0,35.0,0.8027498844279795,0.6574202638544401
176,0.8931986658713498,1775.0,2.0,73.0,0.8026418185646145,0.9243657874119154
199,0.8273620206297501,1019.0,14.0,10.0,0.8026358561013627,0.780998234215404
171,0.8725318823360214,1462.0,2.0,33.0,0.8025538679314286,0.6432853602631582
35,0.8091661682297043,1819.0,3.0,81.0,0.8025407472655427,0.8417797510478677
43,0.7177709337952272,1529.0,1.0,189.0,0.8023004439042379,0.6481902988326342
98,0.6567886643640416,1660.0,20.0,21.0,0.802125546716743,0.6341382759849153
202,0.9403158931606388,1005.0,2.0,185.0,0.8020810770463468,0.6091751032341117
108,0.6108734687313704,1050.0,13.0,36.0,0.80207769093861,0.6060692407972224
39,0.6747591406553733,1660.0,9.0,81.0,0.8016982692175189,0.9160450365117365
200,0.9784086120311954,1962.0,1.0,15.0,0.8015594166029437,0.6564243373477039
75,0.6526073341318387,1060.0,16.0,198.0,0.8013940892191694,0.5110615415381982
95,0.9523195869810578,1678.0,15.0,194.0,0.8012611934171708,0.550414833024114
145,0.6140338171874228,1080.0,15.0,11.0,0.8012484461028917,0.6594980922183551
40,0.8283721659069911,1704.0,3.0,59.0,0.8009937977351346,0.8659260205468547
